                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                 1.6003,                 1.2642,                 2.2098,                0.78646,                0.70867,                0.84106,                0.54186,                 1.4205,                 1.7674,                 2.0896,              0.0011618,              0.0011618,              0.0011618
                    129,                 1.6933,                 1.3523,                 2.2495,                0.78646,                0.70867,                0.84106,                0.54186,                 1.4205,                 1.7674,                 2.0896,              0.0011552,              0.0011552,              0.0011552
                    130,                 1.7575,                 1.3438,                 2.2786,                0.88687,                0.90488,                0.94907,                0.66305,                 1.3598,                 1.5826,                 2.0105,              0.0011486,              0.0011486,              0.0011486
                    131,                 1.5211,                 1.1375,                 2.1904,                0.88687,                0.90488,                0.94907,                0.66305,                 1.3598,                 1.5826,                 2.0105,               0.001142,               0.001142,               0.001142
                    132,                 1.5922,                 1.2211,                 2.1336,                0.89686,                      1,                0.98714,                0.66887,                 1.3659,                  1.176,                 1.9445,              0.0011354,              0.0011354,              0.0011354
                    133,                 1.6363,                 1.2139,                 2.1135,                0.89686,                      1,                0.98714,                0.66887,                 1.3659,                  1.176,                 1.9445,              0.0011288,              0.0011288,              0.0011288
                    134,                  1.725,                  1.285,                 2.2361,                0.79873,                0.96154,                0.94822,                0.60141,                 1.4553,                 1.5729,                 2.0048,              0.0011222,              0.0011222,              0.0011222
                    135,                 1.7915,                 1.2945,                 2.2203,                0.79873,                0.96154,                0.94822,                0.60141,                 1.4553,                 1.5729,                 2.0048,              0.0011156,              0.0011156,              0.0011156
                    136,                 1.7008,                 1.3262,                 2.2398,                 0.8079,                0.88462,                0.94897,                0.57571,                 1.5095,                 1.7079,                 2.0906,               0.001109,               0.001109,               0.001109
                    137,                 1.5666,                 1.2604,                 2.0794,                 0.8079,                0.88462,                0.94897,                0.57571,                 1.5095,                 1.7079,                 2.0906,              0.0011024,              0.0011024,              0.0011024
                    138,                 1.7366,                 1.3553,                 2.3296,                0.94671,                      1,                0.98796,                0.53799,                 1.6347,                 1.1933,                 2.2372,              0.0010958,              0.0010958,              0.0010958
                    139,                   1.49,                 1.0578,                 2.0407,                0.94671,                      1,                0.98796,                0.53799,                 1.6347,                 1.1933,                 2.2372,              0.0010892,              0.0010892,              0.0010892
                    140,                 1.5722,                 1.2547,                 2.1743,                0.98278,                      1,                  0.995,                0.60547,                 1.4651,                 1.0203,                 2.0775,              0.0010826,              0.0010826,              0.0010826
                    141,                 1.4836,                 1.2395,                 2.0551,                0.98278,                      1,                  0.995,                0.60547,                 1.4651,                 1.0203,                 2.0775,               0.001076,               0.001076,               0.001076
                    142,                   1.81,                 1.2575,                 2.3269,                0.99276,                0.92308,                0.98893,                0.66267,                 1.2946,                0.87848,                 1.9125,              0.0010694,              0.0010694,              0.0010694
                    143,                 1.5443,                 1.2799,                 2.2048,                0.99276,                0.92308,                0.98893,                0.66267,                 1.2946,                0.87848,                 1.9125,              0.0010628,              0.0010628,              0.0010628
                    144,                 1.5316,                 1.0732,                  2.065,                0.99386,                0.96154,                0.99286,                0.70224,                 1.2376,                 0.8885,                 1.8383,              0.0010562,              0.0010562,              0.0010562
                    145,                 1.5363,                 1.1112,                 2.0959,                0.99386,                0.96154,                0.99286,                0.70224,                 1.2376,                 0.8885,                 1.8383,              0.0010496,              0.0010496,              0.0010496
                    146,                 1.4888,                 1.0171,                 2.0322,                0.92395,                      1,                0.99241,                0.68698,                 1.2594,                0.94258,                 1.8737,               0.001043,               0.001043,               0.001043
                    147,                 1.6901,                 1.1662,                 2.3055,                0.92395,                      1,                0.99241,                0.68698,                 1.2594,                0.94258,                 1.8737,              0.0010364,              0.0010364,              0.0010364
